city,latitude,longitude,cluster
Tokyo,35.6897,139.6922,4
Jakarta,-6.175,106.8275,692
Delhi,28.61,77.23,981
Guangzhou,23.13,113.26,149
Mumbai,19.0761,72.8775,591
Manila,14.5958,120.9772,170
Shanghai,31.2286,121.4747,602
Sao Paulo,-23.55,-46.6333,638
Seoul,37.56,126.99,66
Mexico City,19.4333,-99.1333,401
Cairo,30.0444,31.2358,685
New York,40.6943,-73.9249,328
Dhaka,23.7639,90.3889,577
Beijing,39.9067,116.3975,802
Kolkata,22.5675,88.37,233
Bangkok,13.7525,100.4942,456
Shenzhen,22.5415,114.0596,149
Moscow,55.7558,37.6172,213
Buenos Aires,-34.6033,-58.3817,47
Lagos,6.455,3.3841,177
Istanbul,41.0136,28.955,722
Karachi,24.86,67.01,178
Bangalore,12.9789,77.5917,468
Ho Chi Minh City,10.7756,106.7019,753
Osaka,34.6939,135.5022,765
Chengdu,30.66,104.0633,234
Tehran,35.6892,51.3889,196
Kinshasa,-4.3219,15.3119,565
Rio de Janeiro,-22.9111,-43.2056,992
Chennai,13.0825,80.275,524
Xi'an,34.2611,108.9422,324
Lahore,31.5497,74.3436,38
Chongqing,29.5637,106.5504,234
Los Angeles,34.1141,-118.4068,666
Baoding,38.874,115.464,802
London,51.5072,-0.1275,218
Paris,48.8567,2.3522,293
Linyi,35.1038,118.3564,975
Dongguan,23.021,113.752,149
Hyderabad,17.3617,78.4747,382
Tianjin,39.1336,117.2054,802
Lima,-12.06,-77.0375,470
Wuhan,30.5934,114.3046,462
Nanyang,32.9987,112.5292,597
Hangzhou,30.267,120.153,602
Foshan,23.0214,113.1216,149
Nagoya,35.1833,136.9,835
Tongshan,34.204,117.284,975
Luanda,-8.8383,13.2344,523
Zhoukou,33.625,114.6418,597
Ganzhou,25.831,114.933,782
Kuala Lumpur,3.1478,101.6953,107
Heze,35.2343,115.4796,597
Quanzhou,24.8744,118.6757,902
Johannesburg,-26.2044,28.0456,742
Chicago,41.8375,-87.6866,263
Nanjing,32.0608,118.7789,602
Jining,35.4151,116.5871,975
Hanoi,21.0,105.85,243
Pune,18.5203,73.8567,591
Fuyang,32.89,115.814,132
Ahmedabad,23.0225,72.5714,549
Bogota,4.7111,-74.0722,352
Shenyang,41.8025,123.4281,353
Dar es Salaam,-6.8161,39.2803,152
Khartoum,15.6,32.5,940
Shangqiu,34.415,115.656,132
Hong Kong,22.3,114.2,149
Cangzhou,38.3047,116.8387,802
Riyadh,24.6333,46.7167,309
Santiago,-33.4372,-70.6506,281
Xingtai,37.0717,114.5048,415
Zhumadian,33.014,114.022,597
Chattogram,22.335,91.8325,787
Surabaya,-7.2458,112.7378,91
Zhanjiang,21.2701,110.3575,605
Bijie,27.284,105.292,517
Yancheng,33.3482,120.1626,602
Hengyang,26.894,112.572,190
Zunyi,27.722,107.031,58
Shaoyang,27.2395,111.4679,190
Surat,21.1702,72.8311,67
Shangrao,28.4551,117.9431,253
Xinyang,32.149,114.091,462
Madrid,40.4169,-3.7033,237
Baghdad,33.3153,44.3661,904
Maoming,21.6627,110.9255,605
Jieyang,23.551,116.3727,436
Miami,25.784,-80.2101,538
Singapore,1.3,103.8,797
Houston,29.786,-95.3885,55
Liaocheng,36.4559,115.9852,415
Huanggang,30.4537,114.8724,462
Dalian,38.9,121.6,771
Dallas,32.7935,-96.7667,354
Qingdao,36.0669,120.3827,386
Yulin,22.654,110.181,605
Douala,4.05,9.7,531
Qujing,25.491,103.796,517
Nangandao,35.3036,113.9268,597
Philadelphia,40.0077,-75.1339,162
Pudong,31.2347,121.5064,602
Toronto,43.7417,-79.3733,95
Zhengzhou,34.764,113.684,597
Dezhou,37.436,116.359,415
Nanchong,30.8372,106.1106,234
Jinan,36.6702,117.0207,975
Giza,29.987,31.2118,685
Nairobi,-1.2864,36.8172,521
Guadalajara,20.6767,-103.3475,6
Ankara,39.93,32.85,974
Tai'an,36.202,117.087,975
Langfang,39.5383,116.6835,802
Dazhou,31.2093,107.4678,234
Saint Petersburg,59.9375,30.3086,482
Monterrey,25.6667,-100.3,589
Belo Horizonte,-19.9167,-43.9333,375
Suzhou,33.6333,116.9683,132
Yongzhou,26.42,111.613,190
Changde,29.031,111.699,190
Xiangyang,32.01,112.122,844
Rangoon,16.795,96.16,839
Atlanta,33.7628,-84.422,530
Washington,38.9047,-77.0163,586
Zhaotong,27.338,103.717,517
Zhangzhou,24.513,117.647,436
Melbourne,-37.8142,144.9631,487
Yichun,27.816,114.417,782
Bozhou,33.8626,115.7742,132
Suqian,33.9331,118.2831,975
Abidjan,5.3167,-4.0333,156
Ji'an,27.0912,114.9668,782
Guilin,25.275,110.296,955
Pingdingshan,33.735,113.2999,597
Berlin,52.52,13.405,929
Alexandria,31.1975,29.8925,127
Mianyang,31.468,104.679,234
Sydney,-33.8678,151.21,962
Huanglongsi,34.795,114.345,597
Barcelona,41.3828,2.1769,396
Yuncheng,35.0267,111.007,816
Cape Town,-33.9253,18.4239,441
Changsha,28.228,112.939,190
Jeddah,21.5433,39.1728,801
Weinan,34.5206,109.471,324
Chenzhou,25.77,113.016,696
Jiangmen,22.5789,113.0815,149
Jiujiang,29.661,115.954,462
Xinpu,34.5966,119.2214,975
Yibin,28.752,104.643,234
