city,latitude,longitude,traditionality,cleanliness,security,transportation,low_cost
Tokyo,35.6897,139.6922,3.059597016,0.220026928,0.494947059,0.763646167,2.464475505
Jakarta,-6.175,106.8275,4.553846997,4.015731639,1.511815937,4.047673363,4.528489863
Delhi,28.61,77.23,4.29992982,0.157742231,4.965342283,2.101424435,2.085149693
Guangzhou,23.13,113.26,2.702525707,1.921357975,2.71462478,2.400765192,1.277419819
Mumbai,19.0761,72.8775,2.100693125,1.549692378,4.169843848,2.273954068,3.689556558
Manila,14.5958,120.9772,4.322790651,3.30537683,2.087070743,0.287720978,1.685379883
Shanghai,31.2286,121.4747,0.367949185,1.781437007,2.235251885,2.988341811,4.77316291
Sao Paulo,-23.55,-46.6333,1.547217219,2.031938199,4.084041975,0.429458121,0.433812558
Seoul,37.56,126.99,4.166393759,2.450997006,4.078382672,2.028855924,2.717893239
Mexico City,19.4333,-99.1333,1.356860366,2.853075287,1.633633846,4.564464618,4.513020208
Cairo,30.0444,31.2358,3.118955111,2.679617723,4.815419554,1.556874186,2.515023728
New York,40.6943,-73.9249,2.188845932,0.49660021,4.079730596,1.550771939,2.726364236
Dhaka,23.7639,90.3889,1.633889091,3.356465264,3.008262312,0.924419337,4.128827302
Beijing,39.9067,116.3975,4.337265764,1.228816815,3.948534181,2.479944572,3.385501792
Kolkata,22.5675,88.37,0.692874968,2.984313834,2.948271524,0.700909954,3.076331502
Bangkok,13.7525,100.4942,0.759866591,4.227624871,3.247510068,4.726828115,1.621840021
Shenzhen,22.5415,114.0596,1.931484681,0.50629085,4.393210495,0.062139683,2.562713644
Moscow,55.7558,37.6172,1.458706817,3.778998279,3.997088748,3.017805163,2.465381014
Buenos Aires,-34.6033,-58.3817,0.593722636,4.544478442,0.521502334,0.31373078,3.708973049
Lagos,6.455,3.3841,0.321779659,2.868586712,3.509565427,0.48995042,2.799326102
Istanbul,41.0136,28.955,4.712137058,4.943833022,3.437220324,2.450500369,4.436477471
Karachi,24.86,67.01,1.541947555,2.957836251,1.724787175,2.390912819,4.422962365
Bangalore,12.9789,77.5917,2.706606492,2.641705774,0.302547243,3.058343121,1.842331041
Ho Chi Minh City,10.7756,106.7019,3.212783512,0.295588898,2.635425511,0.7548962,3.452206173
Osaka,34.6939,135.5022,2.549167285,2.837923016,0.432839139,0.844580045,4.38601063
Chengdu,30.66,104.0633,0.327509135,0.167206363,1.842873235,0.879763332,4.153196889
Tehran,35.6892,51.3889,0.536927925,1.72705754,0.417875481,2.269518254,0.560578011
Kinshasa,-4.3219,15.3119,4.657551162,2.149035835,2.713421831,3.206663659,1.942149183
Rio de Janeiro,-22.9111,-43.2056,3.303235005,3.721080117,3.694478049,3.0403065,1.783968762
Chennai,13.0825,80.275,1.803931176,3.042404645,3.408843731,1.562639695,0.323657279
Xi'an,34.2611,108.9422,2.84853595,3.471277288,0.071919195,0.491924186,4.84892446
Lahore,31.5497,74.3436,2.813019137,4.152336944,3.587437192,4.579400427,4.716280464
Chongqing,29.5637,106.5504,2.163280346,1.002049958,0.303159733,4.193651269,3.155022889
Los Angeles,34.1141,-118.4068,1.840823651,3.195212901,4.229391607,2.212320748,2.001694286
Baoding,38.874,115.464,1.861478918,2.728248107,1.614689322,4.038722954,3.344824366
London,51.5072,-0.1275,0.558307559,1.147328378,1.505458782,2.366198407,0.330391928
Paris,48.8567,2.3522,0.598453437,3.886180345,4.967467768,0.817179871,4.715941605
Linyi,35.1038,118.3564,1.356238023,0.103913324,1.986880627,3.162216904,0.802496265
Dongguan,23.021,113.752,2.44244098,0.356433677,4.910164489,0.835981454,4.917350675
Hyderabad,17.3617,78.4747,1.764563588,3.244309351,2.865426473,2.495361285,4.400846988
Tianjin,39.1336,117.2054,3.829631752,3.77892978,1.686530924,2.94477383,2.92044799
Lima,-12.06,-77.0375,1.430386109,1.392408379,4.608220777,4.233332452,4.198869987
Wuhan,30.5934,114.3046,2.712540984,1.60977389,3.994162169,3.797733704,0.334131745
